,ASIN,AVAILABILITY,CATEGORY,NAME,ORIGINAL_PRICE,SALE_PRICE,URL,date,Threshold
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,2,http://www.amazon.com/dp/B01HSIIFQ2,6/20/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,3,http://www.amazon.com/dp/B01HSIIFQ2,6/21/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,4,http://www.amazon.com/dp/B01HSIIFQ2,6/22/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,10,http://www.amazon.com/dp/B01HSIIFQ2,6/23/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,10,http://www.amazon.com/dp/B01HSIIFQ2,6/23/2019,12
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,11,http://www.amazon.com/dp/B01HSIIFQ2,6/24/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/24/2019,15
2,B00BJB1L5C,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso OriginalLine Espresso Capsules, Variety Pack, VOLLUTO, ROMA, COSI, VIVALTO LUNGO, ARPEGGIO, 50Count pods",35,35,http://www.amazon.com/dp/B00BJB1L5C,6/24/2019,20
0,B01HSIIFQ2,In Stock.,Toys & Games > Games > Card Games,Imploding Kittens: This is The First Expansion of Exploding Kittens,14.99,1,http://www.amazon.com/dp/B01HSIIFQ2,6/24/2019,12
1,B07H2JNF9V,,"Grocery & Gourmet Food > Beverages > Coffee, Tea & Cocoa > Coffee > Single-Serve Capsules & Pods","Nespresso Compatible Capsules - 120 Pods Pack - Extra Intense Expresso pods for Nespresso full compatible with Original Line Nespresso Machine, 120 Capsules of Strong Extra Intense Espresso",39.99,39.99,http://www.amazon.com/dp/B07H2JNF9V,6/24/2019,15
